%% LaTeX2e file `Data.csv'
%% generated by the `filecontents' environment
%% from source `main' on 2022/01/10.
%%
x;y
1;3195400
2;1045400
3;1056900
4;914100
5;946100
6;686900
7;667600
8;373201
9;304599
10;311200
11;304099
12;308000
13;315699
14;325901
15;321799
16;314500
17;317200
18;333100
19;349100
20;329299
21;338000
22;364399
23;488400
24;341299
25;342699
26;387200
27;411800
28;741701
29;434299
30;434400
31;455900
32;446501
33;447100
34;642900
35;472900
36;494100
37;481900
38;956000
39;810501
40;836600
41;811500
42;841400
43;829300
44;1015799
45;863601
46;903299
47;977301
48;918600
49;937500
50;1057200
51;851300
52;887400
53;872599
54;819201
55;1072500
56;814700
57;952900
58;822101
59;895901
60;821601
61;1083901
62;920600
63;906600
64;1345000
65;1277300
66;1596200
67;1278700
68;2113099
69;1173700
70;1199799
71;1496300
72;1183400
73;1189499
74;1476400
75;1199699
76;1228800
77;1213400
78;1472699
79;1234700
80;1393801
81;1234700
82;1620799
83;1278700
84;1256001
85;1260101
86;1270800
87;1614900
88;1286800
89;1355800
90;1816001
91;1258801
92;1280200
93;1385901
94;1300801
95;1321001
96;1296999
97;1514099
98;1313000
99;1315101
100;1317401
101;1491299
102;1446700
103;1379399
104;1414499
105;1531700
106;1548101
107;1565600
108;1685700
109;1603600
110;1586299
111;1629100
112;1568200
113;1589401
114;1570600
115;1712200
116;1613800
117;1702499
118;1673000
119;1634501
120;2191400
121;1628899
122;1816000
123;1658200
124;1836401
125;2004300
126;1722200
127;1727600
128;1820901
129;1651200
130;2009600
131;1927300
132;1900600
133;1786800
134;1901199
135;1767299
136;1770200
137;1699599
138;1709000
139;1875800
140;1829901
141;2041501
142;2010600
143;1822900
144;1622400
145;1235400
146;1171000
147;1245200
148;1295800
149;1421199
150;1184700
151;1319300
152;1225800
153;1285901
154;1275400
155;1330500
156;1172499
157;1074700
158;1378500
159;1362099
160;1227600
161;1338899
162;1307200
163;1625800
164;1364500
165;1493399
166;1483300
167;6929099
168;1478200
169;1506800
170;1053300
171;1292200
172;1556900
173;1402700
174;1415999
175;2060200
176;2043900
177;1985400
178;2245400
179;2133800
180;2103599
181;2383000
182;2129800
183;1986700
184;1989400
185;1248000
186;1383800
187;1318600
188;1641001
189;1252100
190;1361500
191;1434901
192;1451799
193;1251199
194;1535600
195;1448700
196;2271100
197;1506000
198;1454600
199;1692900
200;1327500
201;1489300
202;1541400
203;1329800
204;1426300
205;1443300
206;1229900
207;1449000
208;1473901
209;1676400
210;1535400
211;1432200
212;1608400
