x;y;y_zwei
1;3195400;4154020
2;1045400;1359020
3;1056900;1373970
4;914100;1188330
5;946100;1229930
6;686900;892970
7;667600;867880
8;373201;485161.3
9;304599;395978.7
10;311200;404560
11;304099;395328.7
12;308000;400400
13;315699;410408.7
14;325901;423671.3
15;321799;418338.7
16;314500;408850
17;317200;412360
18;333100;433030
19;349100;453830
20;329299;428088.7
21;338000;439400
22;364399;473718.7
23;488400;634920
24;341299;443688.7
25;342699;445508.7
26;387200;503360
27;411800;535340
28;741701;964211.3
29;434299;564588.7
30;434400;564720
31;455900;592670
32;446501;580451.3
33;447100;581230
34;642900;835770
35;472900;614770
36;494100;642330
37;481900;626470
38;956000;1242800
39;810501;1053651.3
40;836600;1087580
41;811500;1054950
42;841400;1093820
43;829300;1078090
44;1015799;1320538.7
45;863601;1122681.3
46;903299;1174288.7
47;977301;1270491.3
48;918600;1194180
49;937500;1218750
50;1057200;1374360
51;851300;1106690
52;887400;1153620
53;872599;1134378.7
54;819201;1064961.3
55;1072500;1394250
56;814700;1059110
57;952900;1238770
58;822101;1068731.3
59;895901;1164671.3
60;821601;1068081.3
61;1083901;1409071.3
62;920600;1196780
63;906600;1178580
64;1345000;1748500
65;1277300;1660490
66;1596200;2075060
67;1278700;1662310
68;2113099;2747028.7
69;1173700;1525810
70;1199799;1559738.7
71;1496300;1945190
72;1183400;1538420
73;1189499;1546348.7
74;1476400;1919320
75;1199699;1559608.7
76;1228800;1597440
77;1213400;1577420
78;1472699;1914508.7
79;1234700;1605110
80;1393801;1811941.3
81;1234700;1605110
82;1620799;2107038.7
83;1278700;1662310
84;1256001;1632801.3
85;1260101;1638131.3
86;1270800;1652040
87;1614900;2099370
88;1286800;1672840
89;1355800;1762540
90;1816001;2360801.3
91;1258801;1636441.3
92;1280200;1664260
93;1385901;1801671.3
94;1300801;1691041.3
95;1321001;1717301.3
96;1296999;1686098.7
97;1514099;1968328.7
98;1313000;1706900
99;1315101;1709631.3
100;1317401;1712621.3
101;1491299;1938688.7
102;1446700;1880710
103;1379399;1793218.7
104;1414499;1838848.7
105;1531700;1991210
106;1548101;2012531.3
107;1565600;2035280
108;1685700;2191410
109;1603600;2084680
110;1586299;2062188.7
111;1629100;2117830
112;1568200;2038660
113;1589401;2066221.3
114;1570600;2041780
115;1712200;2225860
116;1613800;2097940
117;1702499;2213248.7
118;1673000;2174900
119;1634501;2124851.3
120;2191400;2848820
121;1628899;2117568.7
122;1816000;2360800
123;1658200;2155660
124;1836401;2387321.3
125;2004300;2605590
126;1722200;2238860
127;1727600;2245880
128;1820901;2367171.3
129;1651200;2146560
130;2009600;2612480
131;1927300;2505490
132;1900600;2470780
133;1786800;2322840
134;1901199;2471558.7
135;1767299;2297488.7
136;1770200;2301260
