x;time;ram
10000;10738200;27785080
20000;7756300;16526784
30000;15188600;17594944
40000;43376500;18985920
50000;64094200;17666624
60000;38813900;18386240
70000;38189400;19235864
80000;51269600;19982288
90000;45441400;20718936
100000;83186500;21471504
110000;41623000;22209904
120000;44198800;22946728
130000;49582800;23626944
140000;55017700;24733544
150000;58656900;25483920
160000;71641400;26230680
170000;69375200;26977488
180000;75591100;27724248
190000;77223800;28471016
200000;85109400;29217784
210000;89362800;29964544
220000;116355600;28370232
230000;102351400;30341440
240000;95097700;30762856
250000;122514900;33339216
260000;134757300;34631096
270000;125373800;34690600
280000;149565400;36032256
290000;153302300;37553560
300000;162867100;38448896
310000;169187400;38038544
320000;178406200;39955536
330000;175288600;39725928
340000;192197600;41167624
350000;196014700;41398360
360000;198110000;42335728
370000;196980800;42520920
380000;208010500;44145648
390000;220233900;44915016
400000;232942300;45399360
410000;227386800;45754872
420000;230973000;46214432
430000;236897400;47108864
440000;240170500;47764464
450000;275802900;44446512
460000;241220100;47066416
470000;237778000;46682432
480000;241191000;48361624
490000;297206100;52545008
500000;312103600;53104184
510000;320380000;54098728
520000;325423400;54313096
530000;331223800;55370584
540000;335938900;56369176
550000;349805000;57523752
560000;361627900;58885320
570000;360368500;59433648
580000;372222000;59899584
590000;373635200;60791920
600000;384217500;60888736
610000;386741400;61730216
620000;396999100;62777976
630000;416012300;63060392
640000;421426100;64772440
650000;448653300;64070096
660000;423304300;66495736
670000;458849200;64627536
680000;451845200;67317552
690000;451604100;68725144
700000;465511400;68919472
710000;476088300;70858640
720000;476408100;70778984
730000;527475700;72477976
740000;477833300;72229568
750000;549802800;72459360
760000;498987000;72950040
770000;536759000;74075216
780000;517896000;75220304
790000;555447000;75427632
800000;536920200;76295520
810000;557588000;77551264
820000;549689200;77870104
830000;565926200;78869880
840000;561394400;79021760
850000;582790400;79851368
860000;594963500;80994320
870000;613615300;81465624
880000;645485100;71265856
890000;630314200;83931936
900000;650863300;82735272
910000;688602900;73925952
920000;658795900;88874656
930000;626808500;88554840
940000;599542900;77948768
950000;686312300;89553184
960000;676230400;90377840
970000;506965400;80579736
980000;708020100;91933128
990000;755564300;92334736
1000000;794118200;93503464
1010000;769490700;93641312
1020000;805931600;94671440
1030000;798526800;94428568
1040000;812783600;95708624
1050000;825963700;97194536
1060000;843037500;98438280
1070000;855213700;97899168
1080000;849256700;99115320
1090000;860539000;102039416
1100000;867127500;102946224
1110000;950841300;103420640
1120000;928626300;104466296
1130000;966140500;104868776
1140000;1029140700;105177832
1150000;902416700;106221720
1160000;913394700;107865856
1170000;906455100;106804072
1180000;975077200;108516144
1190000;963707900;109462752
1200000;940862900;110787912
1210000;956248000;111144032
1220000;963696900;110880352
1230000;965558400;112162136
1240000;1002022200;113764816
1250000;992416600;114031872
1260000;989817200;115108000
1270000;991648700;115776272
1280000;993925100;116279080
1290000;1014304400;117144600
1300000;1026133800;117836048
1310000;1059986800;118827240
1320000;1053634300;119567728
1330000;1074548000;120718712
1340000;1053281900;120914192
1350000;1064447000;122136600
1360000;1083468300;122093936
1370000;1105847300;123693960
1380000;1098252700;123805936
1390000;1116529500;124021104
1400000;1132639700;125501088
1410000;1130305300;126303264
1420000;1111861500;126586632
1430000;1150782200;127655360
1440000;1140557700;128599920
1450000;1166420700;128147320
1460000;1164947600;129210120
1470000;1204803600;129621616
1480000;1186300100;131942408
1490000;1184527300;131437528
1500000;1200343800;132575600
1510000;1243205000;134837984
1520000;1239829400;133973544
1530000;1235536600;135306480
1540000;1259121000;136124984
1550000;1238021400;136601968
1560000;1266408800;138323568
1570000;1298747900;138218480
1580000;1310669900;137968400
1590000;1318425200;139674176
1600000;1332285200;141850024
1610000;1351228900;141783632
1620000;1360409800;142186456
1630000;1334355500;142440384
1640000;1316201700;144063400
1650000;1312752800;143234568
1660000;1310393900;144639848
1670000;1307519100;145418232
1680000;1334746400;145657928
1690000;1343328200;146645784
1700000;1346631000;146951880
1710000;1379806700;146893096
1720000;1361910000;148682104
1730000;1372047100;148972528
1740000;1382291000;150590080
1750000;1424465500;150181648
1760000;1544865300;154881128
1770000;1442237500;153770728
1780000;1477877100;154530392
1790000;1557015500;157651072
1800000;1617489600;156988048
1810000;1628944100;158465928
1820000;1565689900;157146856
1830000;1575023400;157677768
1840000;1572976000;159028384
1850000;1678500900;158812296
1860000;1601321200;160022696
1870000;1620870000;162478600
1880000;1579055200;163093040
1890000;1568204500;161964056
1900000;1631742200;161890528
1910000;1519660500;170647896
