x;time;ram
1000;1396039700;286546776
1050;1222489100;454884848
1100;1298821900;120434264
1150;1393941500;96879616
1200;1530736500;517591344
1250;1589188700;457158008
1300;1533306500;566621224
1350;1737699200;255256080
1400;1723493700;626135960
1450;1846906300;795723944
1500;1754829700;546882456
1550;1823709300;783665176
1600;1955818500;136284424
1650;2046683200;805033680
1700;2038957200;888887304
1750;2138006800;35889488
1800;2085253700;551928776
1850;2091381500;106096248
1900;2103930100;943562608
1950;2235760900;880946192
2000;2291775600;1175985048
2050;2412861600;1164505576
2100;2408835800;188982056
2150;2354311900;389422824
2200;2492569800;768254888
2250;2521380200;190036520
2300;2575523200;1341312864
2350;2833228600;338498272
2400;2849366800;726735584
2450;2925726200;196448696
2500;2767755900;1000541192
2550;2820288000;754630760
2600;2895152400;666251864
2650;2950796500;587194472
2700;3050221100;1053652624
2750;3147905900;260423432
2800;3052882100;626557880
2850;3198888600;384628784
2900;3409654400;711543928
2950;3254706600;708835864
3000;3321429600;90789984
3050;3391224500;495204384
3100;3399279500;990890048
3150;3499349600;1030073736
3200;3513894200;925945224
3250;3581592500;388470656
3300;3573313500;1144888872
3350;3649098500;867582456
3400;3779481200;922275624
3450;3775270800;271560816
3500;3846637000;1058128480
3550;3870436100;453182400
3600;3916718800;1111831696
3650;4001517100;991183608
3700;4049125600;742461736
3750;4097850200;1107898448
3800;4122710800;1248126096
3850;4195084800;329577320
3900;4169266200;515067440
3950;4295904500;1527948104
4000;4406416400;88748432
4050;4346178500;984231456
4100;4453957600;156517376
4150;4516309600;911249984
4200;4542611300;899722184
4250;4585862400;1125769808
4300;4695532200;598772152
4350;4694687600;1425227496
4400;4738308600;1020391840
4450;4803080000;37421360
4500;4780949900;270676632
4550;4868373300;913540240
4600;4960802200;429460032
4650;5115513100;1487207256
4700;5053382900;668958256
4750;5172181800;1598788624
4800;5183408600;1515746184
4850;5216554800;726092032
4900;5278561700;289120448
4950;5337957700;87457048
5000;5338959300;958929824
5050;5415220600;628981752
5100;5452723600;591222912
5150;5541468500;168594888
5200;5580489700;634627208
5250;5930261300;204300560
5300;6784317800;1582504240
5350;6646658200;144058744
5400;6564238500;259890840
5450;6726086100;1276092040
5500;6634808800;498587792
5550;6671978300;721759432
5600;6794711300;1212685824
5650;6818439500;1365663784
5700;7087194600;899602432
5750;7034315100;149223640
5800;7223923300;1065058400
5850;7119068300;705513160
5900;7163081000;912055696
5950;7232677700;999447248
6000;7445626800;292689840
6050;7958614100;973737328
6100;8235045400;1320567568
6150;7961239000;930244992
6200;7557538200;415668328
6250;7548315300;1061305776
6300;7744383500;81004344
6350;7794383400;1161447568
6400;8032436200;891243208
6450;7997297800;407469424
6500;7954739300;19799200
6550;8118293200;1656421336
6600;8172535700;281422664
6650;8234436700;1418496696
6700;8276202300;1656618896
6750;8392402500;1602410464
6800;8482830800;1200166432
6850;8459845900;800957824
6900;8466292100;627200120
6950;8529397400;1541033488
7000;8700261600;1058849488
7050;8745686900;638854736
7100;8794893300;1121157024
7150;8940414500;1433294808
7200;8553208100;1711475928
7250;8158316400;1466814040
7300;9541782100;1473992600
7350;8984083800;734376960
7400;8123840400;463899400
7450;8063511900;2025339368
7500;8129568700;1180796864
7550;8285951300;534163208
7600;8478410200;1209257088
7650;8233651300;1104287568
7700;8340271800;1909743016
7750;8726349400;926202016
7800;9723689300;684359760
7850;8565040400;378643576
7900;8638530700;1346394120
7950;8518892200;952937160
8000;8616077600;1441293160
8050;8863504700;1429411968
8100;8684579000;886506608
8150;8835045900;1936019512
8200;8901093100;1244003248
8250;10192330800;196419112
8300;10330104600;870110672
8350;10268047600;1497644312
8400;10484267000;31365056
8450;10008164300;511732184
8500;11072222200;1338810240
8550;10332879500;1345214472
8600;9664582800;1481776712
8650;9674072400;292725984
8700;9664448700;778291008
8750;9812175900;2100439528
8800;9897602400;1357636728
8850;9944139900;754927400
8900;9912291200;1905694024
8950;10051680300;1261438864
9000;10128718100;1484017424
9050;10218464500;317796632
9100;10140772900;1683162080
9150;10286278400;1883724144
9200;10329386500;819368232
9250;10356016600;126249760
9300;10420953000;1200020512
9350;10872591000;2110318960
9400;10515923600;1910521264
9450;10531487500;897549232
9500;10706695600;74001304
9550;10659613200;2075805672
9600;10853165600;1853767064
9650;10829673100;816387200
9700;10896294000;2202684768
9750;11147022000;1212350496
9800;10625160300;233142672
9850;10523845600;989273320
9900;10880013600;860827280
9950;11508554500;288082816
10000;11545990000;881385256
10050;11257719600;270434800
10100;11220854400;900522904
10150;11346018300;908558904
10200;11404595100;2129646384
10250;11471538600;1692267640
10300;11582730500;2196163240
10350;11606699800;1756904336
10400;11683805700;1868988688
10450;11634211700;196886912
10500;11666565700;1180834544
10550;11668496000;805379408
10600;11776708700;344065768
10650;11779649100;1474747568
10700;11859931800;1369970872
10750;11866159500;1445046872
10800;11977662300;1749984088
10850;12052915300;2219897112
10900;12110617400;295366112
10950;12383699200;1078492184
11000;12814318500;1104016024
11050;11948713700;1432805800
11100;12669482600;1723166744
11150;12451487600;605160912
11200;12346776800;626643232
11250;12429872700;223759688
11300;12809962100;2342689920
11350;12699615200;192343608
11400;12522888800;649520904
11450;12666094000;474076168
11500;12635273200;890986448
11550;12704448900;642877280
11600;12887541800;737341408
11650;12867485500;899171712
11700;13083018100;292921808
11750;12924810000;1628673080
11800;13698655100;1660319488
11850;13788192600;1130624984
11900;13522698500;755831192
11950;12852899000;268645544
12000;12696736000;2049096160
12050;12817362500;993744928
12100;12751158400;1819293848
12150;12788025000;1372686736
12200;12808881100;446574112
12250;12896324400;843106608
12300;12989028000;1393275792
12350;13064994200;1879581160
12400;13086534000;2316717096
12450;13157536800;2052512040
12500;13214622000;682104176
12550;13264710700;626976736
12600;13269904300;1159819248
12650;13482531100;1019011424
12700;14153867000;1654523872
12750;14085789300;1073674616
12800;14215706900;1964708088
12850;14204604900;493116064
12900;14228459600;1628958048
12950;14325054100;585511600
13000;14285963700;1530050608
13050;14315861000;561715784
13100;14838940500;2078969640
13150;16028420200;705892352
13200;16718806900;968769280
13250;17407583500;82313776
13300;16450874200;1475691184
13350;16538916200;840127728
13400;16428848300;1861983456
13450;16427871700;1559245992
13500;16635317700;2127265648
13550;16743309700;570645888
13600;16720114700;2135292472
13650;16240037100;2079163208
13700;16220284400;1022596360
13750;16900323600;2381870640
13800;17189527900;2040931320
13850;17596373100;403154656
13900;17307819000;973435208
13950;17215440400;2415605152
14000;17048034400;781571896
14050;18664887100;358542856
14100;17410053300;2560865848
14150;17001104300;463236312
14200;18101099600;1399319048
14250;17793749300;495934496
14300;17752461800;990404696
14350;17630205200;718682048
14400;18119602200;1408507288
14450;17781022700;1041115128
14500;18242432700;91277328
14550;17875337300;81394504
14600;17751740700;319388256
14650;17929717900;2097256840
14700;18144054000;242125584
14750;18612856300;2222266544
14800;17655268200;1678376408
14850;17079641600;1906851928
14900;17066597400;857558952
14950;17004624200;1841048240
15000;16928528700;1295367456
15050;17016747600;1500641840
15100;17100145200;564189384
15150;18004370200;1525915000
15200;19145793700;2513214616
15250;17354991100;591117128
15300;17281652600;1656211808
15350;17369241100;1273574632
15400;17493410900;1623816816
15450;17197183900;65507152
15500;16333295200;439103520
15550;18022425800;1521192928
15600;16993386900;2511023136
15650;17354920600;1875030664
15700;17728577700;447131944
15750;18009639600;447684520
15800;17376261600;225883592
15850;16690451500;1412437880
15900;17780356000;1208626616
15950;18013414300;1891681264
16000;18269376500;1812896272
16050;18373742500;298503160
16100;18163596500;842325576
16150;18388160800;2653579824
16200;18383270500;1508145360
16250;18652351900;2488497536
16300;18557076700;915748424
16350;18692898600;1794413720
16400;18824069800;1018942024
16450;18665461900;1606052712
16500;18733616600;475153472
16550;18809195000;304422144
16600;18714109800;2458047912
16650;18875475700;2280012360
16700;19390406800;352575800
16750;21739860600;887766944
16800;20968548600;2461761672
16850;20539422500;100992592
16900;20317892200;2282440160
16950;20253656700;2234697240
17000;20313999400;209886696
17050;20462919800;662022944
17100;20473429200;2011108416
17150;19277284100;187973176
17200;20594130300;1669800648
17250;20279124400;154951016
17300;20650942800;471833112
17350;20709770900;523648032
17400;20390213000;2294919632
17450;20949700600;2693939840
17500;20774670500;1081728400
17550;20820965100;923604536
17600;20792948300;2222916104
17650;21121242300;2543315168
17700;21275498400;219259728
17750;21281499300;2267741952
17800;21308962800;1703643280
17850;21168903500;1863099352
17900;22297507300;2084323688
17950;21407565800;1900593104
18000;21499434700;476233600
18050;21555775100;2342341920
18100;21554546600;354891040
18150;21628024000;193554768
18200;21681617000;421985808
18250;21714412300;1003456024
18300;21893805000;1661565864
18350;22137185900;1226269872
18400;21902702300;1704227888
18450;22276717700;792882064
18500;21782776500;2473025376
18550;19974341500;3007858768
18600;19880679300;1223013392
18650;20054145800;2595778536
18700;20326108400;724707752
18750;21824254100;2418223840
18800;24003195600;1638731744
18850;23004411000;2224186632
18900;24129910100;2435807328
18950;23476767000;806710056
19000;22746905100;2945657952
19050;22753972100;784073856
19100;24778897400;2420106768
19150;23132201000;727011744
19200;22998441800;651796312
19250;22882782100;2255805728
19300;23037512000;1224024912
19350;23304195800;182599216
19400;22960897600;1388194848
19450;23556380200;2384476448
19500;22222237400;1236558632
19550;21031534100;1482474272
19600;21125155000;1889620560
19650;21601685500;1146269688
19700;23110787200;643397792
19750;21961747900;1924770608
19800;25168721900;2568043176
19850;24479378000;1764779160
19900;26904266700;737412648
19950;25224324900;1672820520
20000;27485614200;2427902232
20050;27406285100;2570217592
20100;26772909700;1960496856
20150;33004360100;138380504
20200;29432531400;1894993760
