x;time;ram
1000;33871000;136504744
11000;28845400;30304360
21000;35530100;29912800
31000;35197700;32090504
41000;30419500;35737736
51000;34212900;36295296
61000;35739000;39679864
71000;30395300;48944456
81000;35919700;49849432
91000;35296500;50370344
101000;31206900;53100624
111000;36454800;52822352
121000;32139400;49849040
131000;35620100;50202888
141000;33540000;51853168
151000;34557000;52945456
161000;32561000;53652088
171000;35137800;54003328
181000;34055200;54348704
191000;35223700;55709768
201000;33025900;56064600
211000;35266200;57434152
221000;35033800;57402608
231000;33572700;60151464
241000;34830700;59613688
251000;33799800;59941616
261000;35704600;61284728
271000;35888900;62645936
281000;34857500;62996800
291000;35775400;64537176
301000;35164400;65250392
311000;35387500;65513432
321000;35273200;65797944
331000;34963700;67503472
341000;34931600;67431720
351000;37356300;70774208
361000;35382300;69839616
371000;36497000;65567304
381000;36505600;66144648
391000;36241500;67001104
401000;34199000;67600808
411000;36887700;68610104
421000;43647100;55302736
431000;34475800;59808752
441000;35796800;71322608
451000;35516200;66113528
461000;34977700;67258360
471000;35915200;67785512
481000;36592100;68540728
491000;37457300;80229112
501000;35854800;70399240
511000;35610400;68284544
521000;35743400;71632008
531000;38134700;86510144
541000;50080600;64995728
551000;37351300;74441888
561000;36324100;86930152
571000;55741900;65386312
581000;47163900;70278160
591000;48631700;61117416
601000;46530600;66968336
611000;36520100;84364360
621000;50556400;67877368
631000;48245000;73501992
641000;52627200;69114992
651000;46947300;70363640
661000;38917000;90685608
671000;50524000;73458016
681000;50833500;100777464
691000;52655200;75022664
701000;53603800;101731096
711000;51991100;76649912
721000;52200700;102084656
731000;36196300;80752440
741000;36692900;106986408
751000;35555600;81271032
761000;36609900;82847600
771000;39574400;118964304
781000;36126100;83657616
791000;36885700;111481144
801000;37739100;99377712
811000;38749600;131968544
821000;66266700;85713984
831000;36835900;90838408
841000;36060800;88953056
851000;38908900;142794464
861000;37236800;99364296
871000;37047500;94061160
881000;37471600;95078976
891000;38012700;125245424
901000;57277300;95083224
911000;37303900;95735976
921000;46325500;115077472
931000;37577900;103466832
941000;53530900;92384880
951000;41242400;105747424
961000;37645000;106183264
971000;37020799;140603704
981000;42729200;92902144
991000;37460600;126806056
1001000;46868201;99113048
1011000;38872600;120658744
1021000;57370800;98406952
1031000;43581900;96800616
1041000;37969200;122531352
1051000;43542000;96531872
1061000;37988899;132626744
1071000;58107699;104289064
1081000;37295600;108291800
1091000;38240500;158809192
1101000;39045199;108141896
1111000;37798300;148654424
1121000;36823000;112419888
1131000;38387601;109271968
1141000;38656100;162265088
1151000;36329001;114989704
1161000;37362300;112507896
1171000;38909401;165664136
1181000;36160801;116153352
1191000;38580200;113567040
1201000;37218199;167478536
1211000;66323101;136593344
1221000;37032399;151827608
1231000;36985500;125754448
1241000;38437000;122170320
1251000;40740800;178928208
1261000;36791099;123398360
1271000;36571800;125134600
1281000;39137700;131863640
1291000;39287500;153157872
1301000;37509600;133097000
1311000;60560900;119478240
1321000;60512500;115897768
1331000;62836600;150420560
1341000;38166699;142722768
1351000;62564700;117785152
1361000;61085500;119992576
1371000;71409500;119757288
1381000;65932900;153369208
1391000;38627700;149410112
1401000;60759300;125046528
1411000;63058300;126623504
1421000;68711500;136500592
1431000;73045300;217887136
1441000;37677000;173825224
1451000;69079100;137184472
1461000;69614900;136707432
1471000;68825300;138597120
1481000;37310500;220084840
1491000;37153200;181578440
1501000;37796700;146233928
1511000;36105500;138019024
1521000;36494800;146519632
1531000;37856900;264711920
1541000;37365000;183340960
1551000;37930800;148481872
1561000;36828400;148994848
1571000;38371400;150828008
1581000;37329600;268361976
1591000;40541500;189684496
