x;time;ram
1000;4257054800;576484880
1050;4260986100;221478400
1100;4543294700;599131816
1150;4700133399;86484672
1200;4969567300;618605168
1250;5003083600;377911080
1300;5266835400;274859296
1350;5417874600;441078344
1400;5956657800;827738872
1450;5901867300;749712592
1500;5890834600;488206512
1550;6146231900;246548352
1600;6997920800;526624760
1650;7982824900;1008962040
1700;9085526400;290780600
1750;7597780600;864945280
1800;7334692000;741141160
1850;7282679600;546950216
1900;7534085300;173481728
1950;7714357500;1431875592
2000;8014530600;490434680
2050;8228769000;1422286584
2100;8388905500;199303544
2150;8605001000;509033056
2200;8819135600;847579712
2250;9054475200;488591520
2300;9260349100;517802632
2350;9400218800;865467680
2400;9619986900;540456416
2450;9373363700;1177151176
2500;9371223300;631945712
2550;9620297100;488961280
2600;9794892800;483510000
2650;9971360500;416206544
2700;10133834000;1382149936
2750;10355490700;856226608
2800;10546625800;1123693304
2850;10695062800;939883768
2900;11269091400;132954544
2950;11102402500;983742552
3000;11264886500;657881352
3050;11487277900;451272576
3100;11666314500;340586552
3150;11899594800;1172173336
3200;12063427200;1484736464
3250;12025985100;883673248
3300;12134501000;1100864944
3350;13163072900;980794688
3400;13207438800;1495075680
3450;13248567300;596216272
3500;13728280200;147755192
3550;13378434000;1549127648
3600;13489838400;1490313888
3650;15504463500;964430672
3700;14114450500;590805320
3750;13986685500;572244856
3800;14134371600;1186142264
3850;14306666500;492151960
3900;14914993300;1558113424
3950;14830223400;801193368
4000;14977661500;1350938016
4050;15155144600;535247064
4100;15325144300;539650848
4150;15512483300;1412196160
4200;15648663300;1771715096
4250;15906692500;689306720
4300;16124115900;1454717664
4350;16189946200;1078731440
4400;16397931200;919712664
4450;16637658100;1514272072
4500;16794718400;1673517712
4550;16924548800;1885223272
4600;17216734900;1283374672
4650;17316331600;643155128
4700;17526300500;1331851744
4750;17697659100;1472863816
4800;17818278800;1724373000
4850;18064582500;1138962544
4900;18366124800;933705920
4950;18461950500;825540056
5000;18612040100;1647010048
5050;18915282500;1933145688
5100;19036090700;920127064
5150;19263968800;1037078752
5200;19063316100;842685784
5250;19458258100;729072744
5300;19382531200;491432016
5350;19519468300;365297712
5400;19731256200;1044527256
5450;20011397700;338224272
5500;20126475500;688556888
5550;20301093800;1466512728
5600;20495142300;805529032
